feature,perm_importance
LVESV_ml,0.17400000000000004
MYO_th_mean_ES_mm,0.08800000000000006
RVESV_ml,0.06760000000000006
LV_axis23_ED,0.06000000000000005
MYO_ES_to_ED_ratio,0.04280000000000004
LVEF_pct_robust,0.03960000000000004
MYO_th_p95_ES_mm,0.02200000000000002
RVEDV_ml,0.021200000000000017
LV_axis13_ED,0.012400000000000012
MYO_th_max_ED_mm,0.009600000000000013
MYO_th_p95_ED_mm,0.008800000000000007
MYO_th_ratio_ES_ED,0.007200000000000007
MYO_th_max_ES_mm,0.007200000000000007
LVEDV_ml,0.001200000000000001
RVEF_pct_robust,0.0008000000000000007
MYO_th_mean_ED_mm,0.00040000000000000034
